"chr","QTL","pos_lo","pos_hi","TRAIT","seqid","source","type","start","end","locusName","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.defline","OsGene"
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63457880,63459878,"Pavir.2KG066500","","","","","LOC_Os07g49050","expressed protein",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63484015,63488320,"Pavir.2KG066505","","AT3G29770","ATMES11,MES11","methyl esterase 11","LOC_Os07g41230","esterase, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",59566636,59570162,"Pavir.2KG188000","GO:0016787,GO:0008299,GO:0004452","AT3G02780","IDI2,IPIAT1,IPP2","isopentenyl pyrophosphate:dimethylallyl pyrophosphate isomerase 2","LOC_Os07g36190","hydrolase, NUDIX family, domain containing protein, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63241004,63243966,"Pavir.2KG226700","","AT4G33625","","","LOC_Os07g02710","expressed protein",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63246476,63250419,"Pavir.2KG226800","GO:0043531","AT3G07040","RPM1,RPS3","NB-ARC domain-containing disease resistance protein","LOC_Os07g40810","NBS-LRR type disease resistance protein, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63253889,63254314,"Pavir.2KG226805","","","","","LOC_Os12g43900","retrotransposon protein, putative, LINE subclass, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63272182,63274205,"Pavir.2KG227000","","AT1G26500","","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os07g40820","PPR repeat domain containing protein, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63280073,63280543,"Pavir.2KG227005","","","","","","",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63284989,63287351,"Pavir.2KG227010","","","","","","",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63287922,63288849,"Pavir.2KG227015","","AT5G09530","","hydroxyproline-rich glycoprotein family protein","LOC_Os07g40860","retrotransposon protein, putative, unclassified, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63291702,63292584,"Pavir.2KG227300","","","","","","",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63293695,63294263,"Pavir.2KG227400","","AT5G09520","","hydroxyproline-rich glycoprotein family protein","LOC_Os07g40910","expressed protein",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63295673,63296385,"Pavir.2KG227500","","AT5G09520","","hydroxyproline-rich glycoprotein family protein","LOC_Os07g40910","expressed protein",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63296962,63301245,"Pavir.2KG227600","GO:0005515","AT5G15550","","Transducin/WD40 repeat-like superfamily protein","LOC_Os07g40930","WD repeat-containing protein 12, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63302181,63303501,"Pavir.2KG227605","","","","","","",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63307790,63310896,"Pavir.2KG227700","","AT1G18650","PDCB3","plasmodesmata callose-binding protein 3","LOC_Os07g40940","X8 domain containing protein, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63310611,63312053,"Pavir.2KG227705","","","","","","",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63312463,63316191,"Pavir.2KG227800","GO:0050662,GO:0003824","AT4G27250","","NAD(P)-binding Rossmann-fold superfamily protein","LOC_Os07g40986","NAD dependent epimerase/dehydratase family protein, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63322558,63323118,"Pavir.2KG227805","","AT1G43760","","DNAse I-like superfamily protein","LOC_Os11g05030","expressed protein",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63328944,63329870,"Pavir.2KG227810","","","","","LOC_Os08g09890","expressed protein",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63338708,63340162,"Pavir.2KG228100","GO:0008146","AT2G03760","AtSOT1,AtSOT12,ATST1,RAR047,SOT12,ST,ST1","sulphotransferase 12","LOC_Os07g05460","flavonol sulfotransferase, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63359106,63362306,"Pavir.2KG228500","GO:0003676","AT5G61030","GR-RBP3","glycine-rich RNA-binding protein 3","LOC_Os07g41120","RNA recognition motif containing protein, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63370423,63372355,"Pavir.2KG228700","GO:0008081,GO:0006629,GO:0008889","AT5G08030","","PLC-like phosphodiesterases superfamily protein","LOC_Os07g41150","glycerophosphoryl diester phosphodiesterase family protein, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63374381,63376193,"Pavir.2KG228800","GO:0007165","AT3G29575","AFP3","ABI five binding protein 3","LOC_Os07g41160","protein of unknown function DUF1675 domain containing protein, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63376251,63376604,"Pavir.2KG228805","","","","","","",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",59477662,59478012,"Pavir.2KG413300","","","","","","",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",59478115,59480229,"Pavir.2KG413305","","","","","","",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",58044192,58045395,"Pavir.2KG413500","","AT4G04630","","Protein of unknown function, DUF584","LOC_Os07g32810","expressed protein",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",58048368,58050340,"Pavir.2KG413600","GO:0008270","AT3G26935","","DHHC-type zinc finger family protein","LOC_Os08g42620","zinc finger DHHC domain-containing protein, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",58053255,58054370,"Pavir.2KG413605","","","","","LOC_Os05g11960","expressed protein",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",58077757,58078500,"Pavir.2KG413700","","","","","LOC_Os07g33070","expressed protein",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",58080516,58081067,"Pavir.2KG413800","","","","","LOC_Os07g33070","expressed protein",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",58081540,58086462,"Pavir.2KG413900","GO:0008270,GO:0006355","AT4G38180","FRS5","FAR1-related sequence 5","LOC_Os06g07010","transposon protein, putative, unclassified, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",58087081,58087518,"Pavir.2KG413905","","","","","","",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",58087575,58089804,"Pavir.2KG413910","","AT2G15690","","Tetratricopeptide repeat (TPR)-like superfamily protein","LOC_Os04g09530","pentatricopeptide, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",58096321,58098606,"Pavir.2KG414200","GO:0046961,GO:0046933,GO:0045261,GO:0015986","AT4G04640","ATPC1","ATPase, F1 complex, gamma subunit protein","LOC_Os07g32880","ATP synthase gamma chain, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",58098229,58113219,"Pavir.2KG414300","GO:0005622,GO:0003676,GO:0008408,GO:0006139","AT2G32415","","Polynucleotidyl transferase, ribonuclease H fold protein with HRDC domain","LOC_Os07g32890","3\'-5\' exonuclease, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63492257,63494418,"Pavir.2KG419800","GO:0055114,GO:0020037,GO:0016705,GO:0005506","AT1G74110","CYP78A10","cytochrome P450, family 78, subfamily A, polypeptide 10","LOC_Os07g41240","cytochrome P450, putative, expressed","GE|CYP78A13 "
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63499386,63504775,"Pavir.2KG419805","GO:0016020,GO:0006810,GO:0005215","AT2G02040","ATPTR2,ATPTR2-B,NTR1,PTR2,PTR2-B","peptide transporter 2","LOC_Os07g41250","peptide transporter PTR2, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63502961,63508143,"Pavir.2KG419810","GO:0009058,GO:0005524,GO:0009396,GO:0004326","AT5G41480","ATDFA,DFA,EMB9,GLA1","Folylpolyglutamate synthetase family protein","LOC_Os12g42870","Mur ligase family protein, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63508288,63512068,"Pavir.2KG419815","","AT5G60960","","Pentatricopeptide repeat (PPR) superfamily protein","LOC_Os07g41260","PPR repeat domain containing protein, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",63514077,63516952,"Pavir.2KG419820","","","","","","",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",56453072,56455940,"Pavir.2KG421990","GO:0005622,GO:0003779,GO:0030042,GO:0015629","AT1G01750","ADF11","actin depolymerizing factor 11","LOC_Os07g30090","actin-depolymerizing factor, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",56456374,56465138,"Pavir.2KG421995","GO:0005515,GO:0008270","AT4G25230","RIN2","RPM1 interacting protein 2","LOC_Os07g30100","RIN3, putative, expressed",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",56507389,56507784,"Pavir.2KG422001","","AT2G34320","","Polynucleotidyl transferase, ribonuclease H-like superfamily protein","","",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",56509182,56511866,"Pavir.2KG422006","","AT3G60660","","","LOC_Os07g30110","expressed protein",NA
"Chr02K","2K@74.02",56436103,63664705,"PRM","Chr02K","phytozomev13","gene",56519864,56520714,"Pavir.2KG422011","","","","","LOC_Os07g48590","retrotransposon protein, putative, unclassified",NA
